target,text
etc,"장마철에는 지하실이 침수될 수 있으니 중요한 물건은 높은 곳에 보관하고 침수 피해를 최소화하는 대비책을 갖추세요."
etc,"비가 내리는 날에는 출퇴근 시 교통 혼잡과 사고가 늘어나므로 출발 시간을 조정하고 안전 운전에 만전을 기해주세요."
etc,"비가 오는 날에는 차량 운전 시 주변 환경을 더욱 주의 깊게 살피고, 미끄럼 방지용 시트를 사용하여 안전 운전에 도움을 받으세요."
accident,"폭우로 인한 산사태로 경기도 일대에 큰 피해가 발생했습니다. 주택과 도로가 토사에 묻히며 인명 피해와 재산 피해가 발생했습니다. 구조대가 실종자 수색과 피해 복구 작업에 투입되었습니다."
accident,"호우로 인한 하천 범람으로 인해 강릉시 일대에서 대규모 침수 피해가 발생했습니다. 주택과 상가가 물에 잠겨 수십 가구가 긴급 대피를 했습니다. 구조대와 화재 진압대가 피해 구조와 복구 작업에 투입되었습니다."
accident,"갑작스러운 폭우로 대구에서 차량이 급발진해 보행자를 들이받는 사고가 발생했습니다. 보행자 2명이 중상을 입었으며 응급실로 옮겨져 치료 중입니다. 경찰이 사고 원인을 조사하고 있습니다."
accident,"장대비로 전남에서 승용차가 도로를 이탈해 사고를 일으켰습니다. 차량 운전자가 중상을 입었으며 응급실로 이송되었습니다. 현장에서 교통 혼잡이 발생하고 있습니다."
accident,"폭우로 인해 전북 일대에서 논에 빠진 차량이 있어 응급 구조대가 출동했습니다. 운전자는 다행히 무사히 구조되었으며, 차량은 물에 잠겨 버려 침수 피해가 발생했습니다."
accident,"갑작스러운 호우로 충북에서 가로수가 쓰러져 차량과 보행자에게 피해가 발생했습니다. 보행자가 경미한 부상을 입었으며 응급실에서 치료를 받고 있습니다."
accident,"강한 비바람으로 대전 지역에서 소방차가 운전 중 길을 잃어 추돌사고가 발생했습니다. 운전사가 경미한 부상을 입었으며 사고 현장에서 교통 정리 작업이 이루어지고 있습니다."
accident,"호우로 인한 강원 지역의 산간 도로에서 승용차가 도로 밖으로 떨어져 추락하는 사고가 발생했습니다. 운전자가 경미한 부상을 입었으며 응급실로 옮겨져 치료 중입니다."
accident,"갑작스러운 호우로 부산에서 건물 옥상에서 작업 중인 작업자가 추락해 사망하는 사고가 발생했습니다. 사망자의 유족을 위해 경찰이 사고 원인을 조사 중입니다."
accident,"폭우로 전남 일대에서 산사태가 발생하여 주택과 도로가 토사에 묻혀 큰 피해가 발생했습니다. 구조대가 실종자 수색과 피해 복구 작업에 힘을 모으고 있습니다."
etc,"장마철에는 지나치게 미끄러운 길과 침수된 도로로 인한 교통사고가 발생할 수 있으니 외출 시 안전 운전 및 보행에 유의해주세요."
etc,"호우로 인한 침수 피해를 예방하기 위해 주변 하천이나 저지대에 위치한 주택은 침수 위험성을 고려하여 적절한 대비를 해주세요."
etc,"장마철에는 우산과 방수용품을 항시 지참하고, 침수 피해가 우려되는 지역에 거주하는 경우 이재발 방지를 위한 대비책을 마련하세요."
etc,"갑작스러운 호우로 인한 산사태나 침수 피해를 최소화하기 위해 기상 정보를 주의 깊게 확인하고, 비가 예상되는 날에는 외출을 최소화하세요."
etc,"호우로 인한 침수 피해를 예방하기 위해 배수구를 청소하고, 비가 오는 날에는 차량을 안전한 곳에 주차하는 등의 조치를 취해주세요."
etc,"장마철에는 미끄럼 방지용 신발을 신고 외출하고, 건물 주변에 있는 나무나 가로수가 넘어지지 않도록 주의하세요."
etc,"폭우로 인한 교통 혼잡을 피하기 위해 출퇴근 시간을 조절하거나 대중교통을 이용하는 등의 대안을 고려해보세요."
etc,"갑작스러운 호우로 인한 교통사고를 예방하기 위해 차량 내부와 외부의 시야를 확보하고 안전운전에 만전을 기해주세요."
etc,"호우로 인한 침수 피해를 최소화하기 위해 지하실이나 저지대에 보관된 물건을 높은 곳으로 옮기고, 배수 시설을 점검해주세요."
etc,"장마철에는 침수 피해를 방지하기 위해 급류가 예상되는 지역을 피하고, 비가 많이 오는 지역은 주택 내부에 방수 시설을 설치하는 등의 대비를 해주세요."
etc,"장마시즌은 시야확보가 어려우니 사고에 주의하셔야합니다."
etc,""왜 용돈 안줘?"…다투다 어머니 흉기로 찌른 20대의 최후 용돈을 주지 않는다는 이유로 말다툼하다 어머니를 흉기로 찌른 20대가 징역 7년을 선고받았다. 17일 법조계에 따르면 서울북부지법 형사합의13부 이태웅 부장판사는 전날존속살인미수 혐의로 재판에 넘겨진 김모(25)씨에게 징역 7년을 선고하고 보호관찰 5년을 명령했다."
etc,"'15개월 딸 김치통 유기' 친모 징역 8년6개월 영아 방치 사망… 시신도 은닉 사망신고 않고 양육수당 챙겨 대법, 형량 1년 늘린 원심 확정 생후 15개월 된 딸을 방치해 사망하게 하고 시신을 2년 넘게 김치통에 유기한 친모가 징역 8년6개월을 확정받았다. 대법원 1부(주심 서경환 대법관)는 16일 아동학대처벌법상 아동 학대 치사, 사체 은닉, 사회보장급여법 위반 혐의로 기소된 서모(37)씨의 상고를 기각하고 원심 판결을 확정했다."
etc,"기가車 2차선으로 좌회전하는 차량이 '쾅'…과실 비율은? 2차선으로 곧장 좌회전 한 차량과 교통사고가 났다는 한 차주의 사연이 알려졌다. 운전자 A씨는 지난달 21일 오후 2시 46분쯤 편도 2차선 도로를 주행 중이었다. 당시 A씨는 2차선에서 차량을 운행하고 있었고, 전방에는 신호등 없는 교차로가 있었다."
etc,"휴대폰 거꾸로 잡고 여학생 '졸졸'…끈질긴 탐문 끝 몰카범 잡았다 휴대전화로 여학생 등을 불법 촬영한 40대가 경찰의 끈질긴 탐문으로 결국 붙잡혔다. 16일 경찰에 따르면 경기북부경찰청 범죄예방대응과 기동순찰2대 소속 신민혁 경장은 지난 9일 고양시 덕양구에서 차를 몰고 출근하다 한 남성이 휴대전화를 거꾸로 잡고 여학생들을 뒤따라가는 장면을 목격했다."
etc,"도로위의 무법자 자전거·킥보드…교통사고 속출 인도 위 빠르게 질주하고 역주행도 일삼아 강원 자전거·M 사고 3분의 1 봄철 집중 강릉서 자전거 사고로 60대 부상입기도 "도로교통법과 안전수칙 필히 준수해야" 16일 춘천시 퇴계동. 한 자전거 운전자가 핸들 양쪽에 장바구니와 쇼핑백을 걸어 놓은 채 비틀비틀대며 인도를 달리고 있었다. 그러던 중 건너편 골목으로 향하기 위해 반대편 차선에서 50m 가량을 역주행을 하다가 SUV와 충돌할 뻔했다."
accident,"부천 아파트 지하 화재‥화물차 추돌 잇따라 어젯밤 경기 부천시의 한 아파트 지하에서 불이나 주민 50여 명이 대피했습니다. 충남 천안시 경부고속도로에선 두 시간 간격으로 잇따라 화물차 추돌사고가 났습니다. 백승우 기자입니다.희뿌연 연기가 아파트 외벽을 타고 하늘로 치솟습니다. 소방차와 경찰차가 출동해있고 주민 수십여 명은 집 밖으로 나와 있습니다."
accident,"강원서 크고 작은 교통사고 잇따라…5명 중경상 강원지역서 크고 작은 교통사고가 잇따라 5명이 다쳤다. 16일  경찰과 소방 당국에 따르면 이날 오전 10시 7분께 강릉시 연곡면 영진리 북부노인종합복지관 앞 도로에서 4륜 오토바이가 전도됐다. 이 사고로 탑승자 70대 남녀가 골절되는 등 중상을 입고 인근 병원으로 이송돼 차료를 받고 있다."
accident,"의왕~당정역 구간 인명사고…전철 1호선 운행 차질, 경위 조사중 15일 오전 전철 1호선 의왕역~당정역 사이에서 인명사고가 발생했다. 이 사고로 현재 상행 전동열차의 운행에 차질이 빚어졌다. 철도당국은 사고를 수숩하는 한편 자세한 사고 경위를 조사 중이다."
accident,"속보대전역 KTX 열차 지연, 선로서 20대 남성 사망 사고 8일 오후 8시쯤 KTX열차가 대전역에 진입하던 중 선로 중앙에 서 있던 A씨와 부딪혀 A씨가 사망하는 사고가 발생하면서다. 오후 5시 37분 진주에서 서울로 향하던 이 열차에는 사고 당시 승객 393명이 탑승했던 것으로 알려졌다. 한국철도공사는 열차 ..."
accident,"속보공주 약산 인근서 산불 발생, 등산객 주의 당부 산불 (사진출처=산림청) 공주 산불 사고가 발생했다. 13일 공주시에 따르면 이날 오후 12시 35분쯤 공주시 사곡면 화월리 산52-1 인근에 불이 났다. 이에 시는 안전 안내 문자를 통해 입산 금지를 당부하고 나섰다. 이어 "인근 주민과 등산객은 안전사고에 주의 ..."
